Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
LED38,C5378731,"led_SK6812mini-e (per-key, single-side)",110.002567,-189.94314,180.0,bottom
LED39,C5378731,"led_SK6812mini-e (per-key, single-side)",130.139131,-190.943896,181.0,bottom
LED40,C5378731,"led_SK6812mini-e (per-key, single-side)",160.419678,-193.479449,184.0,bottom
S1,C41430893,switch_mx,60.897019,-201.855851,356.0,bottom
S10,C41430893,switch_mx,67.785737,-116.111102,358.0,bottom
S11,C41430893,switch_mx,67.051102,-95.073925,358.0,bottom
S12,C41430893,switch_mx,90.660972,-198.539686,359.0,bottom
S13,C41430893,switch_mx,90.293599,-177.492892,359.0,bottom
S14,C41430893,switch_mx,89.926225,-156.446098,359.0,bottom
S15,C41430893,switch_mx,89.558852,-135.399304,359.0,bottom
S16,C41430893,switch_mx,89.191479,-114.35251,359.0,bottom
S17,C41430893,switch_mx,88.824106,-93.305716,359.0,bottom
S18,C41430893,switch_mx,110.624067,-197.16814,0.0,bottom
S19,C41430893,switch_mx,110.624067,-176.11814,0.0,bottom
S2,C41430893,switch_mx,49.362356,-181.503902,357.0,bottom
S20,C41430893,switch_mx,110.624067,-155.06814,0.0,bottom
S21,C41430893,switch_mx,110.624067,-134.01814,0.0,bottom
S22,C41430893,switch_mx,110.624067,-112.96814,0.0,bottom
S23,C41430893,switch_mx,110.624067,-91.91814,0.0,bottom
S24,C41430893,switch_mx,130.607479,-198.145588,1.0,bottom
S25,C41430893,switch_mx,130.974852,-177.098794,1.0,bottom
S26,C41430893,switch_mx,131.342225,-156.052,1.0,bottom
S27,C41430893,switch_mx,131.709598,-135.005206,1.0,bottom
S28,C41430893,switch_mx,132.076972,-113.958412,1.0,bottom
S29,C41430893,switch_mx,132.444345,-92.911618,1.0,bottom
S3,C41430893,switch_mx,48.260684,-160.482751,357.0,bottom
S30,C41430893,switch_mx,151.304849,-178.434862,2.0,bottom
S31,C41430893,switch_mx,152.039483,-157.397685,2.0,bottom
S32,C41430893,switch_mx,152.774118,-136.360508,2.0,bottom
S33,C41430893,switch_mx,153.508752,-115.323331,2.0,bottom
S34,C41430893,switch_mx,154.243387,-94.286154,2.0,bottom
S35,C41430893,switch_mx,160.4279,-200.597589,4.0,bottom
S36,C41430893,switch_mx,171.963887,-180.323004,3.0,bottom
S37,C41430893,switch_mx,173.065559,-159.301852,3.0,bottom
S38,C41430893,switch_mx,174.167231,-138.280701,3.0,bottom
S39,C41430893,switch_mx,175.268903,-117.259549,3.0,bottom
S4,C41430893,switch_mx,47.159012,-139.461599,357.0,bottom
S40,C41430893,switch_mx,176.370575,-96.238397,3.0,bottom
S5,C41430893,switch_mx,46.05734,-118.440447,357.0,bottom
S6,C41430893,switch_mx,44.955668,-97.419296,357.0,bottom
S7,C41430893,switch_mx,69.98964,-179.222633,358.0,bottom
S8,C41430893,switch_mx,69.255005,-158.185456,358.0,bottom
S9,C41430893,switch_mx,68.520371,-137.148279,358.0,bottom
