pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
46.079378,-132.180411,-177.0,bottom,LED21,,,"led_SK6812mini-e (per-key, single-side)",C5378731,smt
47.181049,-153.201563,3.0,bottom,LED22,,,"led_SK6812mini-e (per-key, single-side)",C5378731,smt
68.327816,-150.920702,2.0,bottom,LED23,,,"led_SK6812mini-e (per-key, single-side)",C5378731,smt
89.151762,-149.200076,1.0,bottom,LED24,,,"led_SK6812mini-e (per-key, single-side)",C5378731,smt
110.002567,-147.84314,0.0,bottom,LED25,,,"led_SK6812mini-e (per-key, single-side)",C5378731,smt
130.873877,-148.850308,-1.0,bottom,LED26,,,"led_SK6812mini-e (per-key, single-side)",C5378731,smt
151.724431,-150.221577,-2.0,bottom,LED27,,,"led_SK6812mini-e (per-key, single-side)",C5378731,smt
172.903898,-152.153598,-3.0,bottom,LED28,,,"led_SK6812mini-e (per-key, single-side)",C5378731,smt
171.802226,-173.17475,177.0,bottom,LED29,,,"led_SK6812mini-e (per-key, single-side)",C5378731,smt
150.989796,-171.258753,178.0,bottom,LED30,,,"led_SK6812mini-e (per-key, single-side)",C5378731,smt
130.506504,-169.897102,179.0,bottom,LED31,,,"led_SK6812mini-e (per-key, single-side)",C5378731,smt
110.002567,-168.89314,180.0,bottom,LED32,,,"led_SK6812mini-e (per-key, single-side)",C5378731,smt
89.519136,-170.24687,-179.0,bottom,LED33,,,"led_SK6812mini-e (per-key, single-side)",C5378731,smt
69.06245,-171.957879,-178.0,bottom,LED34,,,"led_SK6812mini-e (per-key, single-side)",C5378731,smt
48.282721,-174.222715,-177.0,bottom,LED35,,,"led_SK6812mini-e (per-key, single-side)",C5378731,smt
59.665269,-194.527414,4.0,bottom,LED36,,,"led_SK6812mini-e (per-key, single-side)",C5378731,smt
89.886509,-191.293664,1.0,bottom,LED37,,,"led_SK6812mini-e (per-key, single-side)",C5378731,smt
110.002567,-189.94314,0.0,bottom,LED38,,,"led_SK6812mini-e (per-key, single-side)",C5378731,smt
130.139131,-190.943896,-1.0,bottom,LED39,,,"led_SK6812mini-e (per-key, single-side)",C5378731,smt
160.419678,-193.479449,-4.0,bottom,LED40,,,"led_SK6812mini-e (per-key, single-side)",C5378731,smt
60.011261,-199.475332,-176.0,bottom,S1,,,switch_mx,C41430893,smt
67.031649,-113.803327,-178.0,bottom,S10,,,switch_mx,C41430893,smt
66.297014,-92.76615,-178.0,bottom,S11,,,switch_mx,C41430893,smt
89.973073,-196.252909,-179.0,bottom,S12,,,switch_mx,C41430893,smt
89.6057,-175.206115,-179.0,bottom,S13,,,switch_mx,C41430893,smt
89.238326,-154.159321,-179.0,bottom,S14,,,switch_mx,C41430893,smt
88.870953,-133.112527,-179.0,bottom,S15,,,switch_mx,C41430893,smt
88.50358,-112.065733,-179.0,bottom,S16,,,switch_mx,C41430893,smt
88.136207,-91.018939,-179.0,bottom,S17,,,switch_mx,C41430893,smt
110.002567,-194.90314,180.0,bottom,S18,,,switch_mx,C41430893,smt
110.002567,-173.85314,180.0,bottom,S19,,,switch_mx,C41430893,smt
48.542308,-179.175917,-177.0,bottom,S2,,,switch_mx,C41430893,smt
110.002567,-152.80314,180.0,bottom,S20,,,switch_mx,C41430893,smt
110.002567,-131.75314,180.0,bottom,S21,,,switch_mx,C41430893,smt
110.002567,-110.70314,180.0,bottom,S22,,,switch_mx,C41430893,smt
110.002567,-89.65314,180.0,bottom,S23,,,switch_mx,C41430893,smt
130.052567,-195.90314,179.0,bottom,S24,,,switch_mx,C41430893,smt
130.41994,-174.856346,179.0,bottom,S25,,,switch_mx,C41430893,smt
130.787313,-153.809552,179.0,bottom,S26,,,switch_mx,C41430893,smt
131.154686,-132.762758,179.0,bottom,S27,,,switch_mx,C41430893,smt
131.52206,-111.715964,179.0,bottom,S28,,,switch_mx,C41430893,smt
131.889433,-90.66917,179.0,bottom,S29,,,switch_mx,C41430893,smt
47.440636,-158.154766,-177.0,bottom,S3,,,switch_mx,C41430893,smt
150.816695,-176.215732,178.0,bottom,S30,,,switch_mx,C41430893,smt
151.551329,-155.178555,178.0,bottom,S31,,,switch_mx,C41430893,smt
152.285964,-134.141378,178.0,bottom,S32,,,switch_mx,C41430893,smt
153.020598,-113.104201,178.0,bottom,S33,,,switch_mx,C41430893,smt
153.755233,-92.067024,178.0,bottom,S34,,,switch_mx,C41430893,smt
160.073686,-198.427367,176.0,bottom,S35,,,switch_mx,C41430893,smt
171.542639,-178.127952,177.0,bottom,S36,,,switch_mx,C41430893,smt
172.644311,-157.1068,177.0,bottom,S37,,,switch_mx,C41430893,smt
173.745983,-136.085649,177.0,bottom,S38,,,switch_mx,C41430893,smt
174.847655,-115.064497,177.0,bottom,S39,,,switch_mx,C41430893,smt
46.338964,-137.133614,-177.0,bottom,S4,,,switch_mx,C41430893,smt
175.949327,-94.043345,177.0,bottom,S40,,,switch_mx,C41430893,smt
45.237292,-116.112462,-177.0,bottom,S5,,,switch_mx,C41430893,smt
44.13562,-95.091311,-177.0,bottom,S6,,,switch_mx,C41430893,smt
69.235552,-176.914858,-178.0,bottom,S7,,,switch_mx,C41430893,smt
68.500917,-155.877681,-178.0,bottom,S8,,,switch_mx,C41430893,smt
67.766283,-134.840504,-178.0,bottom,S9,,,switch_mx,C41430893,smt
