Ref,Val,Package,PosX,PosY,Rot,Side
"D15","C7420318","D_1206_3216Metric",82.995653,-141.741379,91.000000,bottom
"D16","C7420318","D_1206_3216Metric",82.628279,-120.694585,91.000000,bottom
"D17","C7420318","D_1206_3216Metric",82.260906,-99.647791,91.000000,bottom
"D18","C7420318","D_1206_3216Metric",103.977567,-203.428140,90.000000,bottom
"D19","C7420318","D_1206_3216Metric",103.977567,-182.378140,90.000000,bottom
"D20","C7420318","D_1206_3216Metric",103.977567,-161.328140,90.000000,bottom
"D21","C7420318","D_1206_3216Metric",103.977567,-140.278140,90.000000,bottom
"D22","C7420318","D_1206_3216Metric",103.977567,-119.228140,90.000000,bottom
"D23","C7420318","D_1206_3216Metric",103.977567,-98.178140,90.000000,bottom
"D24","C7420318","D_1206_3216Metric",123.879703,-204.321691,89.000000,bottom
"D25","C7420318","D_1206_3216Metric",124.247076,-183.274897,89.000000,bottom
"D26","C7420318","D_1206_3216Metric",124.614449,-162.228103,89.000000,bottom
"D27","C7420318","D_1206_3216Metric",124.981822,-141.181309,89.000000,bottom
"D28","C7420318","D_1206_3216Metric",125.349195,-120.134515,89.000000,bottom
"D29","C7420318","D_1206_3216Metric",125.716569,-99.087721,89.000000,bottom
"D30","C7420318","D_1206_3216Metric",144.497847,-184.525269,88.000000,bottom
"D31","C7420318","D_1206_3216Metric",145.232481,-163.488092,88.000000,bottom
"D32","C7420318","D_1206_3216Metric",145.967116,-142.450915,88.000000,bottom
"D33","C7420318","D_1206_3216Metric",146.701750,-121.413739,88.000000,bottom
"D34","C7420318","D_1206_3216Metric",147.436385,-100.376562,88.000000,bottom
"D35","C7420318","D_1206_3216Metric",153.468689,-206.511318,86.000000,bottom
"D36","C7420318","D_1206_3216Metric",165.079732,-186.325945,87.000000,bottom
"D37","C7420318","D_1206_3216Metric",166.181404,-165.304793,87.000000,bottom
"D38","C7420318","D_1206_3216Metric",167.283076,-144.283641,87.000000,bottom
"D39","C7420318","D_1206_3216Metric",168.384748,-123.262490,87.000000,bottom
"D40","C7420318","D_1206_3216Metric",169.486420,-102.241338,87.000000,bottom
"LED01","C5378731","led_SK6812mini-e (per-key, single-side)",176.208913,-89.090143,177.000000,bottom
"LED02","C5378731","led_SK6812mini-e (per-key, single-side)",153.928334,-87.110046,178.000000,bottom
"LED03","C5378731","led_SK6812mini-e (per-key, single-side)",131.975997,-85.709926,179.000000,bottom
"LED04","C5378731","led_SK6812mini-e (per-key, single-side)",110.002567,-84.693140,180.000000,bottom
"LED05","C5378731","led_SK6812mini-e (per-key, single-side)",88.049643,-86.059694,-179.000000,bottom
"LED06","C5378731","led_SK6812mini-e (per-key, single-side)",66.123913,-87.809172,-178.000000,bottom
"LED07","C5378731","led_SK6812mini-e (per-key, single-side)",43.876034,-90.138108,-177.000000,bottom
"LED08","C5378731","led_SK6812mini-e (per-key, single-side)",44.977706,-111.159260,3.000000,bottom
"LED09","C5378731","led_SK6812mini-e (per-key, single-side)",66.858547,-108.846348,2.000000,bottom
"LED10","C5378731","led_SK6812mini-e (per-key, single-side)",88.417016,-107.106488,1.000000,bottom
"LED11","C5378731","led_SK6812mini-e (per-key, single-side)",110.002567,-105.743140,0.000000,bottom
"LED12","C5378731","led_SK6812mini-e (per-key, single-side)",131.608623,-106.756720,-1.000000,bottom
"LED13","C5378731","led_SK6812mini-e (per-key, single-side)",153.193700,-108.147223,-2.000000,bottom
"LED14","C5378731","led_SK6812mini-e (per-key, single-side)",175.107241,-110.111294,-3.000000,bottom
"LED15","C5378731","led_SK6812mini-e (per-key, single-side)",174.005570,-131.132446,177.000000,bottom
"LED16","C5378731","led_SK6812mini-e (per-key, single-side)",152.459065,-129.184400,178.000000,bottom
"LED17","C5378731","led_SK6812mini-e (per-key, single-side)",131.241250,-127.803514,179.000000,bottom
"LED18","C5378731","led_SK6812mini-e (per-key, single-side)",110.002567,-126.793140,180.000000,bottom
"LED19","C5378731","led_SK6812mini-e (per-key, single-side)",88.784389,-128.153282,-179.000000,bottom
"LED20","C5378731","led_SK6812mini-e (per-key, single-side)",67.593181,-129.883525,-178.000000,bottom
"LED21","C5378731","led_SK6812mini-e (per-key, single-side)",46.079378,-132.180411,-177.000000,bottom
"LED22","C5378731","led_SK6812mini-e (per-key, single-side)",47.181049,-153.201563,3.000000,bottom
"LED23","C5378731","led_SK6812mini-e (per-key, single-side)",68.327816,-150.920702,2.000000,bottom
"LED24","C5378731","led_SK6812mini-e (per-key, single-side)",89.151762,-149.200076,1.000000,bottom
"LED25","C5378731","led_SK6812mini-e (per-key, single-side)",110.002567,-147.843140,0.000000,bottom
"LED26","C5378731","led_SK6812mini-e (per-key, single-side)",130.873877,-148.850308,-1.000000,bottom
"LED27","C5378731","led_SK6812mini-e (per-key, single-side)",151.724431,-150.221577,-2.000000,bottom
"LED28","C5378731","led_SK6812mini-e (per-key, single-side)",172.903898,-152.153598,-3.000000,bottom
"LED29","C5378731","led_SK6812mini-e (per-key, single-side)",171.802226,-173.174750,177.000000,bottom
"LED30","C5378731","led_SK6812mini-e (per-key, single-side)",150.989796,-171.258753,178.000000,bottom
"LED31","C5378731","led_SK6812mini-e (per-key, single-side)",130.506504,-169.897102,179.000000,bottom
"LED32","C5378731","led_SK6812mini-e (per-key, single-side)",110.002567,-168.893140,180.000000,bottom
"LED33","C5378731","led_SK6812mini-e (per-key, single-side)",89.519136,-170.246870,-179.000000,bottom
"LED34","C5378731","led_SK6812mini-e (per-key, single-side)",69.062450,-171.957879,-178.000000,bottom
"LED35","C5378731","led_SK6812mini-e (per-key, single-side)",48.282721,-174.222715,-177.000000,bottom
"LED36","C5378731","led_SK6812mini-e (per-key, single-side)",59.665269,-194.527414,4.000000,bottom
"LED37","C5378731","led_SK6812mini-e (per-key, single-side)",89.886509,-191.293664,1.000000,bottom
"LED38","C5378731","led_SK6812mini-e (per-key, single-side)",110.002567,-189.943140,0.000000,bottom
"LED39","C5378731","led_SK6812mini-e (per-key, single-side)",130.139131,-190.943896,-1.000000,bottom
"LED40","C5378731","led_SK6812mini-e (per-key, single-side)",160.419678,-193.479449,-4.000000,bottom
"S1","C41430893","switch_mx",60.011261,-199.475332,-176.000000,bottom
"S2","C41430893","switch_mx",48.542308,-179.175917,-177.000000,bottom
"S3","C41430893","switch_mx",47.440636,-158.154766,-177.000000,bottom
"S4","C41430893","switch_mx",46.338964,-137.133614,-177.000000,bottom
"S5","C41430893","switch_mx",45.237292,-116.112462,-177.000000,bottom
"S6","C41430893","switch_mx",44.135620,-95.091311,-177.000000,bottom
"S7","C41430893","switch_mx",69.235552,-176.914858,-178.000000,bottom
"S8","C41430893","switch_mx",68.500917,-155.877681,-178.000000,bottom
"S9","C41430893","switch_mx",67.766283,-134.840504,-178.000000,bottom
"S10","C41430893","switch_mx",67.031649,-113.803327,-178.000000,bottom
"S11","C41430893","switch_mx",66.297014,-92.766150,-178.000000,bottom
"S12","C41430893","switch_mx",89.973073,-196.252909,-179.000000,bottom
"S13","C41430893","switch_mx",89.605700,-175.206115,-179.000000,bottom
"S14","C41430893","switch_mx",89.238326,-154.159321,-179.000000,bottom
"S15","C41430893","switch_mx",88.870953,-133.112527,-179.000000,bottom
"S16","C41430893","switch_mx",88.503580,-112.065733,-179.000000,bottom
"S17","C41430893","switch_mx",88.136207,-91.018939,-179.000000,bottom
"S18","C41430893","switch_mx",110.002567,-194.903140,180.000000,bottom
"S19","C41430893","switch_mx",110.002567,-173.853140,180.000000,bottom
"S20","C41430893","switch_mx",110.002567,-152.803140,180.000000,bottom
"S21","C41430893","switch_mx",110.002567,-131.753140,180.000000,bottom
"S22","C41430893","switch_mx",110.002567,-110.703140,180.000000,bottom
"S23","C41430893","switch_mx",110.002567,-89.653140,180.000000,bottom
"S24","C41430893","switch_mx",130.052567,-195.903140,179.000000,bottom
"S25","C41430893","switch_mx",130.419940,-174.856346,179.000000,bottom
"S26","C41430893","switch_mx",130.787313,-153.809552,179.000000,bottom
"S27","C41430893","switch_mx",131.154686,-132.762758,179.000000,bottom
"S28","C41430893","switch_mx",131.522060,-111.715964,179.000000,bottom
"S29","C41430893","switch_mx",131.889433,-90.669170,179.000000,bottom
"S30","C41430893","switch_mx",150.816695,-176.215732,178.000000,bottom
"S31","C41430893","switch_mx",151.551329,-155.178555,178.000000,bottom
"S32","C41430893","switch_mx",152.285964,-134.141378,178.000000,bottom
"S33","C41430893","switch_mx",153.020598,-113.104201,178.000000,bottom
"S34","C41430893","switch_mx",153.755233,-92.067024,178.000000,bottom
"S35","C41430893","switch_mx",160.073686,-198.427367,176.000000,bottom
"S36","C41430893","switch_mx",171.542639,-178.127952,177.000000,bottom
"S37","C41430893","switch_mx",172.644311,-157.106800,177.000000,bottom
"S38","C41430893","switch_mx",173.745983,-136.085649,177.000000,bottom
"S39","C41430893","switch_mx",174.847655,-115.064497,177.000000,bottom
"S40","C41430893","switch_mx",175.949327,-94.043345,177.000000,bottom
